questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT17-S2-Q22,openai/gpt-5.2-chat,minimal,1,D,E,false,1819,
PT17-S2-Q22,openai/gpt-5.2-chat,minimal,2,D,E,false,464,
PT17-S2-Q22,openai/gpt-5.2-chat,minimal,3,D,E,false,436,
PT158-S2-Q10,openai/gpt-5.2-chat,minimal,1,E,E,true,385,
PT158-S2-Q10,openai/gpt-5.2-chat,minimal,2,E,E,true,473,
PT158-S2-Q10,openai/gpt-5.2-chat,minimal,3,E,E,true,408,
PT158-S2-Q2,openai/gpt-5.2-chat,minimal,1,A,A,true,386,
PT158-S2-Q2,openai/gpt-5.2-chat,minimal,2,A,A,true,455,
PT158-S2-Q2,openai/gpt-5.2-chat,minimal,3,A,A,true,394,
PT158-S3-Q14,openai/gpt-5.2-chat,minimal,1,C,C,true,608,
PT158-S3-Q14,openai/gpt-5.2-chat,minimal,2,C,C,true,1517,
PT158-S3-Q14,openai/gpt-5.2-chat,minimal,3,C,C,true,421,
PT158-S3-Q07,openai/gpt-5.2-chat,minimal,1,C,C,true,422,
PT158-S3-Q07,openai/gpt-5.2-chat,minimal,2,C,C,true,376,
PT158-S3-Q07,openai/gpt-5.2-chat,minimal,3,C,C,true,395,
PT158-S3-Q17,openai/gpt-5.2-chat,minimal,1,D,D,true,434,
PT158-S3-Q17,openai/gpt-5.2-chat,minimal,2,D,D,true,482,
PT158-S3-Q17,openai/gpt-5.2-chat,minimal,3,D,D,true,792,
PT147-S3-Q12,openai/gpt-5.2-chat,minimal,1,D,D,true,409,
PT147-S3-Q12,openai/gpt-5.2-chat,minimal,2,D,D,true,404,
PT147-S3-Q12,openai/gpt-5.2-chat,minimal,3,D,D,true,513,
PT147-S1-Q3,openai/gpt-5.2-chat,minimal,1,A,A,true,426,
PT147-S1-Q3,openai/gpt-5.2-chat,minimal,2,A,A,true,1405,
PT147-S1-Q3,openai/gpt-5.2-chat,minimal,3,A,A,true,393,
PT158-S3-Q21,openai/gpt-5.2-chat,minimal,1,E,C,false,396,
PT158-S3-Q21,openai/gpt-5.2-chat,minimal,2,E,C,false,447,
PT158-S3-Q21,openai/gpt-5.2-chat,minimal,3,E,C,false,2439,
PT158-S2-Q01,openai/gpt-5.2-chat,minimal,1,D,D,true,483,
PT158-S2-Q01,openai/gpt-5.2-chat,minimal,2,D,D,true,476,
PT158-S2-Q01,openai/gpt-5.2-chat,minimal,3,D,D,true,378,
PT158-S4-Q25,openai/gpt-5.2-chat,minimal,1,D,D,true,375,
PT158-S4-Q25,openai/gpt-5.2-chat,minimal,2,D,D,true,389,
PT158-S4-Q25,openai/gpt-5.2-chat,minimal,3,D,D,true,454,
PT147-S3-Q5,openai/gpt-5.2-chat,minimal,1,E,E,true,419,
PT147-S3-Q5,openai/gpt-5.2-chat,minimal,2,E,E,true,613,
PT147-S3-Q5,openai/gpt-5.2-chat,minimal,3,E,E,true,419,
PT158-S4-Q26,openai/gpt-5.2-chat,minimal,1,B,B,true,534,
PT158-S4-Q26,openai/gpt-5.2-chat,minimal,2,B,B,true,393,
PT158-S4-Q26,openai/gpt-5.2-chat,minimal,3,B,B,true,385,
PT158-S2-Q16,openai/gpt-5.2-chat,minimal,1,C,C,true,387,
PT158-S2-Q16,openai/gpt-5.2-chat,minimal,2,C,C,true,379,
PT158-S2-Q16,openai/gpt-5.2-chat,minimal,3,C,C,true,383,
PT158-S2-Q09,openai/gpt-5.2-chat,minimal,1,C,C,true,452,
PT158-S2-Q09,openai/gpt-5.2-chat,minimal,2,C,C,true,368,
PT158-S2-Q09,openai/gpt-5.2-chat,minimal,3,C,C,true,395,
PT158-S3-Q22,openai/gpt-5.2-chat,minimal,1,C,C,true,382,
PT158-S3-Q22,openai/gpt-5.2-chat,minimal,2,C,C,true,422,
PT158-S3-Q22,openai/gpt-5.2-chat,minimal,3,C,C,true,375,
PT158-S4-Q17,openai/gpt-5.2-chat,minimal,1,D,D,true,440,
PT158-S4-Q17,openai/gpt-5.2-chat,minimal,2,D,D,true,394,
PT158-S4-Q17,openai/gpt-5.2-chat,minimal,3,D,D,true,385,
PT17-S2-Q22,openai/gpt-5.2-chat,current,1,D,A,false,381,
PT17-S2-Q22,openai/gpt-5.2-chat,current,2,D,A,false,348,
PT17-S2-Q22,openai/gpt-5.2-chat,current,3,D,A,false,537,
PT158-S2-Q10,openai/gpt-5.2-chat,current,1,E,A,false,788,
PT158-S2-Q10,openai/gpt-5.2-chat,current,2,E,A,false,389,
PT158-S2-Q10,openai/gpt-5.2-chat,current,3,E,A,false,384,
PT158-S2-Q2,openai/gpt-5.2-chat,current,1,A,A,true,388,
PT158-S2-Q2,openai/gpt-5.2-chat,current,2,A,A,true,373,
PT158-S2-Q2,openai/gpt-5.2-chat,current,3,A,,false,452,
PT158-S3-Q14,openai/gpt-5.2-chat,current,1,C,A,false,376,
PT158-S3-Q14,openai/gpt-5.2-chat,current,2,C,,false,381,
PT158-S3-Q14,openai/gpt-5.2-chat,current,3,C,A,false,369,
PT158-S3-Q07,openai/gpt-5.2-chat,current,1,C,A,false,400,
