questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT17-S2-Q22,deepseek/deepseek-r1,minimal,1,D,D,true,3402,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,2,D,D,true,1290,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,3,D,D,true,1269,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1198,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1341,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1486,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,1,A,A,true,1260,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,2,A,A,true,1472,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,3,A,A,true,1801,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,1,C,C,true,1741,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,2,C,C,true,2378,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,3,C,C,true,1503,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1426,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1400,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1291,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,1,D,D,true,1320,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,2,D,D,true,1204,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,3,D,D,true,1164,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,1,D,D,true,1959,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,2,D,D,true,1478,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,3,D,D,true,1379,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,1,A,A,true,1511,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,2,A,A,true,1309,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,3,A,A,true,1833,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,1,E,E,true,1555,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,2,E,E,true,2567,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,3,E,C,false,2808,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,1,D,D,true,1221,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,2,D,D,true,1052,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,3,D,D,true,1775,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,1,D,D,true,1600,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,2,D,D,true,1945,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,3,D,D,true,1459,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,1,E,E,true,1615,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,2,E,E,true,1313,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,3,E,E,true,1490,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,1,B,B,true,2130,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,2,B,B,true,1916,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,3,B,B,true,2166,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,1,C,C,true,1474,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,2,C,C,true,1523,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,3,C,C,true,1662,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,1,C,C,true,1363,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,2,C,C,true,2902,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,3,C,C,true,1330,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,1,C,C,true,1454,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,2,C,C,true,1447,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,3,C,C,true,1680,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,1,D,D,true,1614,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,2,D,D,true,2046,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,3,D,D,true,1476,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,1,D,D,true,4261,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,2,D,D,true,2508,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,3,D,D,true,2457,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,1,E,E,true,10289,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,2,E,E,true,2580,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,3,E,E,true,10300,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,1,A,A,true,3237,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,2,A,A,true,2776,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,3,A,A,true,2446,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,1,C,C,true,2850,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,2,C,C,true,10219,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,3,C,C,true,2660,
PT158-S3-Q07,google/gemini-2.5-pro,minimal,1,C,C,true,4474,
PT158-S3-Q07,google/gemini-2.5-pro,minimal,2,C,C,true,4025,
PT158-S3-Q07,google/gemini-2.5-pro,minimal,3,C,C,true,4308,
PT158-S3-Q17,google/gemini-2.5-pro,minimal,1,D,D,true,2737,
PT158-S3-Q17,google/gemini-2.5-pro,minimal,2,D,D,true,3391,
