id,section,qnum,type,family,primaryMethods,sourceFile,questionStem
PT89-S1-Q01,1,1,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"Each of the following, if true, strengthens the argument EXCEPT:"
PT89-S1-Q02,1,2,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,Which one of the following is an assumption on which the argument relies?
PT89-S1-Q03,1,3,parallel_flaw,structure_matching,formula|abstract_mapping|venn,PT89_no_answers.json,Which one of the following exhibits flawed reasoning most similar to the flawed reasoning in the argument above?
PT89-S1-Q04,1,4,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"Which one of the following principles, if valid, most strongly supports the researcher's reasoning?"
PT89-S1-Q05,1,5,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"Which one of the following, if true, most seriously weakens the argument?"
PT89-S1-Q06,1,6,main_conclusion,argument_structure,argument_chain,PT89_no_answers.json,Which one of the following is the main point at issue between the hospital auditor and the clinic administrator?
PT89-S1-Q07,1,7,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,which one of the following?
PT89-S1-Q08,1,8,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"Which one of the following, if true, most helps to explain the similarity described above between alfalfa and non-nitrogen fixing plants?"
PT89-S1-Q09,1,9,flaw,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,The reasoning in the argument is questionable because
PT89-S1-Q10,1,10,principle_apply,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,Which one of the following is an application of the economic principle above?
PT89-S1-Q11,1,11,except,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"If the claims made above are true, then each of the following could be true EXCEPT:"
PT89-S1-Q12,1,12,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,The author's conclusion in the passage depends on the assumption that
PT89-S1-Q13,1,13,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,which one of the following?
PT89-S1-Q14,1,14,must_be_true,inference,highlight|lego|venn|substitution,PT89_no_answers.json,"the statements above are true, which one of the following must also be true on the basis of them?"
PT89-S1-Q15,1,15,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT89_no_answers.json,"Which one the following, if true, most strengthens the argument?"
PT89-S1-Q16,1,16,most_supported,inference,highlight|lego|venn|substitution,PT89_no_answers.json,"The statement above, if true, most strongly support which one of the following?"
PT89-S1-Q17,1,17,resolve,dual_structure,parallel_bridge|dispute_locate,PT89_no_answers.json,"Which one of the following, if true, most helps to explain the discrepancy described above?"
