questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT88-S1-Q01,deepseek/deepseek-r1,minimal,1,B,B,true,2998,
PT88-S1-Q01,deepseek/deepseek-r1,minimal,2,B,B,true,1348,
PT88-S1-Q01,deepseek/deepseek-r1,minimal,3,B,B,true,2046,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,1,D,D,true,1315,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,2,D,D,true,1344,
PT88-S1-Q02,deepseek/deepseek-r1,minimal,3,D,D,true,1517,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,1,D,D,true,1571,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,2,D,D,true,1249,
PT88-S1-Q03,deepseek/deepseek-r1,minimal,3,D,D,true,1742,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,1,A,A,true,1521,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,2,A,A,true,1124,
PT88-S1-Q04,deepseek/deepseek-r1,minimal,3,A,A,true,1371,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,1,C,C,true,1299,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,2,C,C,true,1436,
PT88-S1-Q05,deepseek/deepseek-r1,minimal,3,C,C,true,1333,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,1,C,C,true,1531,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,2,C,C,true,1142,
PT88-S1-Q06,deepseek/deepseek-r1,minimal,3,C,C,true,1842,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,1,C,C,true,1336,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,2,C,C,true,1125,
PT88-S1-Q07,deepseek/deepseek-r1,minimal,3,C,C,true,1724,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,1,B,B,true,1682,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,2,B,B,true,1408,
PT88-S1-Q08,deepseek/deepseek-r1,minimal,3,B,B,true,1052,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,1,A,A,true,1187,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,2,A,A,true,1548,
PT88-S1-Q09,deepseek/deepseek-r1,minimal,3,A,A,true,1243,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,1,E,E,true,1717,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,2,E,E,true,1638,
PT88-S1-Q10,deepseek/deepseek-r1,minimal,3,E,E,true,1353,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,1,B,B,true,1540,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,2,B,B,true,1304,
PT88-S1-Q11,deepseek/deepseek-r1,minimal,3,B,B,true,1609,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,1,E,E,true,1317,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,2,E,E,true,1841,
PT88-S1-Q12,deepseek/deepseek-r1,minimal,3,E,E,true,1226,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,1,C,C,true,1439,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,2,C,C,true,1843,
PT88-S1-Q13,deepseek/deepseek-r1,minimal,3,C,C,true,1523,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,1,B,B,true,1101,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,2,B,B,true,1272,
PT88-S1-Q14,deepseek/deepseek-r1,minimal,3,B,B,true,1330,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,1,A,A,true,1453,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,2,A,A,true,1560,
PT88-S1-Q15,deepseek/deepseek-r1,minimal,3,A,A,true,1125,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,1,D,D,true,1116,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,2,D,D,true,2084,
PT88-S1-Q16,deepseek/deepseek-r1,minimal,3,D,D,true,1739,
PT88-S1-Q17,deepseek/deepseek-r1,minimal,1,B,B,true,1310,
PT88-S1-Q17,deepseek/deepseek-r1,minimal,2,B,B,true,1133,
PT88-S1-Q17,deepseek/deepseek-r1,minimal,3,B,B,true,1159,
PT88-S1-Q18,deepseek/deepseek-r1,minimal,1,A,A,true,1353,
PT88-S1-Q18,deepseek/deepseek-r1,minimal,2,A,A,true,1322,
PT88-S1-Q18,deepseek/deepseek-r1,minimal,3,A,A,true,1509,
PT88-S1-Q19,deepseek/deepseek-r1,minimal,1,E,E,true,1588,
PT88-S1-Q19,deepseek/deepseek-r1,minimal,2,E,E,true,1411,
PT88-S1-Q19,deepseek/deepseek-r1,minimal,3,E,E,true,1185,
PT88-S1-Q20,deepseek/deepseek-r1,minimal,1,C,C,true,1227,
PT88-S1-Q20,deepseek/deepseek-r1,minimal,2,C,C,true,1393,
PT88-S1-Q20,deepseek/deepseek-r1,minimal,3,C,C,true,1331,
PT88-S1-Q21,deepseek/deepseek-r1,minimal,1,B,B,true,1306,
PT88-S1-Q21,deepseek/deepseek-r1,minimal,2,B,B,true,1524,
PT88-S1-Q21,deepseek/deepseek-r1,minimal,3,B,B,true,1226,
PT88-S1-Q22,deepseek/deepseek-r1,minimal,1,D,D,true,1335,
PT88-S1-Q22,deepseek/deepseek-r1,minimal,2,D,D,true,2855,
PT88-S1-Q22,deepseek/deepseek-r1,minimal,3,D,D,true,1350,
PT88-S1-Q23,deepseek/deepseek-r1,minimal,1,C,C,true,1489,
PT88-S1-Q23,deepseek/deepseek-r1,minimal,2,C,C,true,1179,
PT88-S1-Q23,deepseek/deepseek-r1,minimal,3,C,C,true,1440,
PT88-S1-Q24,deepseek/deepseek-r1,minimal,1,D,D,true,1174,
PT88-S1-Q24,deepseek/deepseek-r1,minimal,2,D,D,true,1125,
PT88-S1-Q24,deepseek/deepseek-r1,minimal,3,D,D,true,1784,
PT88-S1-Q25,deepseek/deepseek-r1,minimal,1,B,E,false,1564,
PT88-S1-Q25,deepseek/deepseek-r1,minimal,2,B,B,true,1808,
PT88-S1-Q25,deepseek/deepseek-r1,minimal,3,B,B,true,1944,
PT88-S1-Q26,deepseek/deepseek-r1,minimal,1,D,D,true,1626,
PT88-S1-Q26,deepseek/deepseek-r1,minimal,2,D,D,true,1328,
PT88-S1-Q26,deepseek/deepseek-r1,minimal,3,D,D,true,1229,
PT88-S2-Q01,deepseek/deepseek-r1,minimal,1,B,B,true,1842,
PT88-S2-Q01,deepseek/deepseek-r1,minimal,2,B,B,true,1323,
PT88-S2-Q01,deepseek/deepseek-r1,minimal,3,B,B,true,1448,
PT88-S2-Q02,deepseek/deepseek-r1,minimal,1,B,B,true,1181,
PT88-S2-Q02,deepseek/deepseek-r1,minimal,2,B,B,true,1931,
PT88-S2-Q02,deepseek/deepseek-r1,minimal,3,B,B,true,1339,
PT88-S2-Q03,deepseek/deepseek-r1,minimal,1,D,D,true,1733,
PT88-S2-Q03,deepseek/deepseek-r1,minimal,2,D,D,true,1533,
PT88-S2-Q03,deepseek/deepseek-r1,minimal,3,D,D,true,1516,
PT88-S2-Q04,deepseek/deepseek-r1,minimal,1,A,A,true,2123,
PT88-S2-Q04,deepseek/deepseek-r1,minimal,2,A,A,true,1434,
PT88-S2-Q04,deepseek/deepseek-r1,minimal,3,A,A,true,1367,
PT88-S2-Q05,deepseek/deepseek-r1,minimal,1,B,B,true,1488,
PT88-S2-Q05,deepseek/deepseek-r1,minimal,2,B,B,true,1492,
PT88-S2-Q05,deepseek/deepseek-r1,minimal,3,B,B,true,1388,
PT88-S2-Q06,deepseek/deepseek-r1,minimal,1,B,B,true,1944,
PT88-S2-Q06,deepseek/deepseek-r1,minimal,2,B,B,true,1210,
PT88-S2-Q06,deepseek/deepseek-r1,minimal,3,B,B,true,1558,
PT88-S2-Q07,deepseek/deepseek-r1,minimal,1,D,D,true,1713,
PT88-S2-Q07,deepseek/deepseek-r1,minimal,2,D,D,true,1330,
PT88-S2-Q07,deepseek/deepseek-r1,minimal,3,D,D,true,1397,
PT88-S2-Q08,deepseek/deepseek-r1,minimal,1,A,E,false,1132,
PT88-S2-Q08,deepseek/deepseek-r1,minimal,2,A,E,false,1648,
PT88-S2-Q08,deepseek/deepseek-r1,minimal,3,A,E,false,1294,
PT88-S2-Q09,deepseek/deepseek-r1,minimal,1,E,E,true,1567,
PT88-S2-Q09,deepseek/deepseek-r1,minimal,2,E,E,true,1785,
PT88-S2-Q09,deepseek/deepseek-r1,minimal,3,E,E,true,1354,
PT88-S2-Q10,deepseek/deepseek-r1,minimal,1,B,B,true,1316,
PT88-S2-Q10,deepseek/deepseek-r1,minimal,2,B,B,true,1299,
PT88-S2-Q10,deepseek/deepseek-r1,minimal,3,B,,false,1558,
PT88-S2-Q11,deepseek/deepseek-r1,minimal,1,C,C,true,1415,
PT88-S2-Q11,deepseek/deepseek-r1,minimal,2,C,C,true,1826,
PT88-S2-Q11,deepseek/deepseek-r1,minimal,3,C,C,true,1095,
PT88-S2-Q12,deepseek/deepseek-r1,minimal,1,A,A,true,1300,
PT88-S2-Q12,deepseek/deepseek-r1,minimal,2,A,A,true,1821,
PT88-S2-Q12,deepseek/deepseek-r1,minimal,3,A,A,true,1200,
PT88-S2-Q13,deepseek/deepseek-r1,minimal,1,C,C,true,1167,
PT88-S2-Q13,deepseek/deepseek-r1,minimal,2,C,C,true,1871,
PT88-S2-Q13,deepseek/deepseek-r1,minimal,3,C,C,true,1199,
PT88-S2-Q14,deepseek/deepseek-r1,minimal,1,E,E,true,1444,
PT88-S2-Q14,deepseek/deepseek-r1,minimal,2,E,E,true,1426,
PT88-S2-Q14,deepseek/deepseek-r1,minimal,3,E,E,true,1440,
PT88-S2-Q15,deepseek/deepseek-r1,minimal,1,D,C,false,1557,
PT88-S2-Q15,deepseek/deepseek-r1,minimal,2,D,D,true,1562,
PT88-S2-Q15,deepseek/deepseek-r1,minimal,3,D,C,false,1818,
PT88-S2-Q16,deepseek/deepseek-r1,minimal,1,D,D,true,1499,
PT88-S2-Q16,deepseek/deepseek-r1,minimal,2,D,D,true,1252,
PT88-S2-Q16,deepseek/deepseek-r1,minimal,3,D,D,true,1686,
PT88-S2-Q17,deepseek/deepseek-r1,minimal,1,B,B,true,1842,
PT88-S2-Q17,deepseek/deepseek-r1,minimal,2,B,B,true,1270,
PT88-S2-Q17,deepseek/deepseek-r1,minimal,3,B,B,true,1516,
PT88-S2-Q18,deepseek/deepseek-r1,minimal,1,B,B,true,1351,
PT88-S2-Q18,deepseek/deepseek-r1,minimal,2,B,B,true,1505,
PT88-S2-Q18,deepseek/deepseek-r1,minimal,3,B,B,true,1233,
PT88-S2-Q19,deepseek/deepseek-r1,minimal,1,A,A,true,4653,
PT88-S2-Q19,deepseek/deepseek-r1,minimal,2,A,A,true,1933,
PT88-S2-Q19,deepseek/deepseek-r1,minimal,3,A,A,true,2098,
PT88-S2-Q20,deepseek/deepseek-r1,minimal,1,E,E,true,1284,
PT88-S2-Q20,deepseek/deepseek-r1,minimal,2,E,E,true,1723,
PT88-S2-Q20,deepseek/deepseek-r1,minimal,3,E,E,true,1540,
PT88-S2-Q21,deepseek/deepseek-r1,minimal,1,A,A,true,1422,
PT88-S2-Q21,deepseek/deepseek-r1,minimal,2,A,C,false,1777,
PT88-S2-Q21,deepseek/deepseek-r1,minimal,3,A,A,true,1318,
PT88-S2-Q22,deepseek/deepseek-r1,minimal,1,D,E,false,1391,
