questionId,model,promptMode,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT17-S2-Q22,deepseek/deepseek-r1,minimal,1,D,D,TRUE,3402,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,2,D,D,TRUE,1290,
PT17-S2-Q22,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1269,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,1,E,E,TRUE,1198,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,2,E,E,TRUE,1341,
PT158-S2-Q10,deepseek/deepseek-r1,minimal,3,E,E,TRUE,1486,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,1,A,A,TRUE,1260,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,2,A,A,TRUE,1472,
PT158-S2-Q2,deepseek/deepseek-r1,minimal,3,A,A,TRUE,1801,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,1,C,C,TRUE,1741,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,2,C,C,TRUE,2378,
PT158-S3-Q14,deepseek/deepseek-r1,minimal,3,C,C,TRUE,1503,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,1,C,C,TRUE,1426,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,2,C,C,TRUE,1400,
PT158-S3-Q07,deepseek/deepseek-r1,minimal,3,C,C,TRUE,1291,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,1,D,D,TRUE,1320,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,2,D,D,TRUE,1204,
PT158-S3-Q17,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1164,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,1,D,D,TRUE,1959,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,2,D,D,TRUE,1478,
PT147-S3-Q12,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1379,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,1,A,A,TRUE,1511,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,2,A,A,TRUE,1309,
PT147-S1-Q3,deepseek/deepseek-r1,minimal,3,A,A,TRUE,1833,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,1,E,E,TRUE,1555,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,2,E,E,TRUE,2567,
PT158-S3-Q21,deepseek/deepseek-r1,minimal,3,E,C,FALSE,2808,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,1,D,D,TRUE,1221,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,2,D,D,TRUE,1052,
PT158-S2-Q01,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1775,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,1,D,D,TRUE,1600,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,2,D,D,TRUE,1945,
PT158-S4-Q25,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1459,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,1,E,E,TRUE,1615,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,2,E,E,TRUE,1313,
PT147-S3-Q5,deepseek/deepseek-r1,minimal,3,E,E,TRUE,1490,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,1,B,B,TRUE,2130,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,2,B,B,TRUE,1916,
PT158-S4-Q26,deepseek/deepseek-r1,minimal,3,B,B,TRUE,2166,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,1,C,C,TRUE,1474,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,2,C,C,TRUE,1523,
PT158-S2-Q16,deepseek/deepseek-r1,minimal,3,C,C,TRUE,1662,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,1,C,C,TRUE,1363,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,2,C,C,TRUE,2902,
PT158-S2-Q09,deepseek/deepseek-r1,minimal,3,C,C,TRUE,1330,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,1,C,C,TRUE,1454,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,2,C,C,TRUE,1447,
PT158-S3-Q22,deepseek/deepseek-r1,minimal,3,C,C,TRUE,1680,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,1,D,D,TRUE,1614,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,2,D,D,TRUE,2046,
PT158-S4-Q17,deepseek/deepseek-r1,minimal,3,D,D,TRUE,1476,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,1,D,D,TRUE,4261,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,2,D,D,TRUE,2508,
PT17-S2-Q22,google/gemini-2.5-pro,minimal,3,D,D,TRUE,2457,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,1,E,E,TRUE,10289,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,2,E,E,TRUE,2580,
PT158-S2-Q10,google/gemini-2.5-pro,minimal,3,E,E,TRUE,10300,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,1,A,A,TRUE,3237,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,2,A,A,TRUE,2776,
PT158-S2-Q2,google/gemini-2.5-pro,minimal,3,A,A,TRUE,2446,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,1,C,C,TRUE,2850,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,2,C,C,TRUE,10219,
PT158-S3-Q14,google/gemini-2.5-pro,minimal,3,C,C,TRUE,2660,
